h0 [SinglePointCrossover,BitFlipMutation] 820
h1 [SinglePointCrossover,LoopMoveOperator] 810
h2 [SinglePointCrossover,LocalMoveOperator] 850
h3 [SinglePointCrossover,SegmentMutation] 841
h4 [SinglePointCrossover,OppositeMoveOperator] 834
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 860
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 806
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 827
h8 [IntegerTwoPointsCrossover,SegmentMutation] 838
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 834
h10 [MultiPointsCrossover,BitFlipMutation] 845
h11 [MultiPointsCrossover,LoopMoveOperator] 828
h12 [MultiPointsCrossover,LocalMoveOperator] 814
h13 [MultiPointsCrossover,SegmentMutation] 783
h14 [MultiPointsCrossover,OppositeMoveOperator] 860
