h0 [SinglePointCrossover,BitFlipMutation] 167112
h1 [SinglePointCrossover,LoopMoveOperator] 166425
h2 [SinglePointCrossover,LocalMoveOperator] 167407
h3 [SinglePointCrossover,SegmentMutation] 167074
h4 [SinglePointCrossover,OppositeMoveOperator] 166558
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166323
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166843
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166005
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166528
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166639
h10 [MultiPointsCrossover,BitFlipMutation] 165684
h11 [MultiPointsCrossover,LoopMoveOperator] 166456
h12 [MultiPointsCrossover,LocalMoveOperator] 167033
h13 [MultiPointsCrossover,SegmentMutation] 166718
h14 [MultiPointsCrossover,OppositeMoveOperator] 167195
