h0 [SinglePointCrossover,BitFlipMutation] 83619
h1 [SinglePointCrossover,LoopMoveOperator] 83659
h2 [SinglePointCrossover,LocalMoveOperator] 83108
h3 [SinglePointCrossover,SegmentMutation] 82507
h4 [SinglePointCrossover,OppositeMoveOperator] 82885
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83349
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83496
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83008
h8 [IntegerTwoPointsCrossover,SegmentMutation] 82691
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83400
h10 [MultiPointsCrossover,BitFlipMutation] 83261
h11 [MultiPointsCrossover,LoopMoveOperator] 83137
h12 [MultiPointsCrossover,LocalMoveOperator] 83052
h13 [MultiPointsCrossover,SegmentMutation] 83343
h14 [MultiPointsCrossover,OppositeMoveOperator] 82985
