h0 [SinglePointCrossover,BitFlipMutation] 16703
h1 [SinglePointCrossover,LoopMoveOperator] 16855
h2 [SinglePointCrossover,LocalMoveOperator] 16681
h3 [SinglePointCrossover,SegmentMutation] 16637
h4 [SinglePointCrossover,OppositeMoveOperator] 16808
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16485
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16582
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16864
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16543
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16510
h10 [MultiPointsCrossover,BitFlipMutation] 16721
h11 [MultiPointsCrossover,LoopMoveOperator] 16687
h12 [MultiPointsCrossover,LocalMoveOperator] 16770
h13 [MultiPointsCrossover,SegmentMutation] 16521
h14 [MultiPointsCrossover,OppositeMoveOperator] 16633
