h0 [SinglePointCrossover,BitFlipMutation] 8394
h1 [SinglePointCrossover,LoopMoveOperator] 8265
h2 [SinglePointCrossover,LocalMoveOperator] 8262
h3 [SinglePointCrossover,SegmentMutation] 8067
h4 [SinglePointCrossover,OppositeMoveOperator] 8354
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8432
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8294
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8383
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8369
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8265
h10 [MultiPointsCrossover,BitFlipMutation] 8350
h11 [MultiPointsCrossover,LoopMoveOperator] 8381
h12 [MultiPointsCrossover,LocalMoveOperator] 8225
h13 [MultiPointsCrossover,SegmentMutation] 8293
h14 [MultiPointsCrossover,OppositeMoveOperator] 8416
