h0 [SinglePointCrossover,BitFlipMutation] 8391
h1 [SinglePointCrossover,LoopMoveOperator] 8313
h2 [SinglePointCrossover,LocalMoveOperator] 8221
h3 [SinglePointCrossover,SegmentMutation] 8449
h4 [SinglePointCrossover,OppositeMoveOperator] 8296
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8242
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8314
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8319
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8387
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8178
h10 [MultiPointsCrossover,BitFlipMutation] 8281
h11 [MultiPointsCrossover,LoopMoveOperator] 8455
h12 [MultiPointsCrossover,LocalMoveOperator] 8386
h13 [MultiPointsCrossover,SegmentMutation] 8267
h14 [MultiPointsCrossover,OppositeMoveOperator] 8251
