h0 [SinglePointCrossover,BitFlipMutation] 166980
h1 [SinglePointCrossover,LoopMoveOperator] 167304
h2 [SinglePointCrossover,LocalMoveOperator] 166314
h3 [SinglePointCrossover,SegmentMutation] 166794
h4 [SinglePointCrossover,OppositeMoveOperator] 166304
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166680
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166920
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167160
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166154
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166348
h10 [MultiPointsCrossover,BitFlipMutation] 167104
h11 [MultiPointsCrossover,LoopMoveOperator] 166481
h12 [MultiPointsCrossover,LocalMoveOperator] 166345
h13 [MultiPointsCrossover,SegmentMutation] 166259
h14 [MultiPointsCrossover,OppositeMoveOperator] 166853
