h0 [SinglePointCrossover,BitFlipMutation] 83716
h1 [SinglePointCrossover,LoopMoveOperator] 83032
h2 [SinglePointCrossover,LocalMoveOperator] 83097
h3 [SinglePointCrossover,SegmentMutation] 83197
h4 [SinglePointCrossover,OppositeMoveOperator] 83555
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83269
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 82997
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83475
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83277
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83167
h10 [MultiPointsCrossover,BitFlipMutation] 83002
h11 [MultiPointsCrossover,LoopMoveOperator] 83472
h12 [MultiPointsCrossover,LocalMoveOperator] 82900
h13 [MultiPointsCrossover,SegmentMutation] 83403
h14 [MultiPointsCrossover,OppositeMoveOperator] 83941
