h0 [SinglePointCrossover,BitFlipMutation] 16828
h1 [SinglePointCrossover,LoopMoveOperator] 16825
h2 [SinglePointCrossover,LocalMoveOperator] 16678
h3 [SinglePointCrossover,SegmentMutation] 16694
h4 [SinglePointCrossover,OppositeMoveOperator] 16563
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16647
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16539
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16850
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16515
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16675
h10 [MultiPointsCrossover,BitFlipMutation] 16648
h11 [MultiPointsCrossover,LoopMoveOperator] 16768
h12 [MultiPointsCrossover,LocalMoveOperator] 16539
h13 [MultiPointsCrossover,SegmentMutation] 16654
h14 [MultiPointsCrossover,OppositeMoveOperator] 16577
