h0 [SinglePointCrossover,BitFlipMutation] 166410
h1 [SinglePointCrossover,LoopMoveOperator] 166173
h2 [SinglePointCrossover,LocalMoveOperator] 166846
h3 [SinglePointCrossover,SegmentMutation] 166790
h4 [SinglePointCrossover,OppositeMoveOperator] 166712
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166673
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167143
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166375
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166123
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167293
h10 [MultiPointsCrossover,BitFlipMutation] 166788
h11 [MultiPointsCrossover,LoopMoveOperator] 166778
h12 [MultiPointsCrossover,LocalMoveOperator] 166718
h13 [MultiPointsCrossover,SegmentMutation] 166818
h14 [MultiPointsCrossover,OppositeMoveOperator] 166360
