h0 [SinglePointCrossover,BitFlipMutation] 83111
h1 [SinglePointCrossover,LoopMoveOperator] 83754
h2 [SinglePointCrossover,LocalMoveOperator] 83277
h3 [SinglePointCrossover,SegmentMutation] 83530
h4 [SinglePointCrossover,OppositeMoveOperator] 83158
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83108
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83612
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83687
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83295
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83028
h10 [MultiPointsCrossover,BitFlipMutation] 82924
h11 [MultiPointsCrossover,LoopMoveOperator] 83311
h12 [MultiPointsCrossover,LocalMoveOperator] 83458
h13 [MultiPointsCrossover,SegmentMutation] 83375
h14 [MultiPointsCrossover,OppositeMoveOperator] 82872
