h0 [SinglePointCrossover,BitFlipMutation] 167317
h1 [SinglePointCrossover,LoopMoveOperator] 166148
h2 [SinglePointCrossover,LocalMoveOperator] 166176
h3 [SinglePointCrossover,SegmentMutation] 166543
h4 [SinglePointCrossover,OppositeMoveOperator] 166312
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167282
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166536
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166260
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166911
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166727
h10 [MultiPointsCrossover,BitFlipMutation] 166728
h11 [MultiPointsCrossover,LoopMoveOperator] 166684
h12 [MultiPointsCrossover,LocalMoveOperator] 167250
h13 [MultiPointsCrossover,SegmentMutation] 166660
h14 [MultiPointsCrossover,OppositeMoveOperator] 166466
