h0 [SinglePointCrossover,BitFlipMutation] 166636
h1 [SinglePointCrossover,LoopMoveOperator] 166641
h2 [SinglePointCrossover,LocalMoveOperator] 166738
h3 [SinglePointCrossover,SegmentMutation] 166878
h4 [SinglePointCrossover,OppositeMoveOperator] 166614
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166802
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166546
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166173
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166254
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166588
h10 [MultiPointsCrossover,BitFlipMutation] 166687
h11 [MultiPointsCrossover,LoopMoveOperator] 167407
h12 [MultiPointsCrossover,LocalMoveOperator] 166741
h13 [MultiPointsCrossover,SegmentMutation] 166467
h14 [MultiPointsCrossover,OppositeMoveOperator] 166828
