h0 [SinglePointCrossover,BitFlipMutation] 167622
h1 [SinglePointCrossover,LoopMoveOperator] 166364
h2 [SinglePointCrossover,LocalMoveOperator] 166339
h3 [SinglePointCrossover,SegmentMutation] 166156
h4 [SinglePointCrossover,OppositeMoveOperator] 166624
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167204
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 165984
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167017
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166088
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166961
h10 [MultiPointsCrossover,BitFlipMutation] 166675
h11 [MultiPointsCrossover,LoopMoveOperator] 166636
h12 [MultiPointsCrossover,LocalMoveOperator] 167091
h13 [MultiPointsCrossover,SegmentMutation] 166531
h14 [MultiPointsCrossover,OppositeMoveOperator] 166708
