h0 [SinglePointCrossover,BitFlipMutation] 83397
h1 [SinglePointCrossover,LoopMoveOperator] 83030
h2 [SinglePointCrossover,LocalMoveOperator] 83538
h3 [SinglePointCrossover,SegmentMutation] 83146
h4 [SinglePointCrossover,OppositeMoveOperator] 83295
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83626
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83101
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 82996
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83411
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83346
h10 [MultiPointsCrossover,BitFlipMutation] 83295
h11 [MultiPointsCrossover,LoopMoveOperator] 83724
h12 [MultiPointsCrossover,LocalMoveOperator] 82931
h13 [MultiPointsCrossover,SegmentMutation] 83219
h14 [MultiPointsCrossover,OppositeMoveOperator] 83445
