h0 [SinglePointCrossover,BitFlipMutation] 166323
h1 [SinglePointCrossover,LoopMoveOperator] 166544
h2 [SinglePointCrossover,LocalMoveOperator] 167105
h3 [SinglePointCrossover,SegmentMutation] 165944
h4 [SinglePointCrossover,OppositeMoveOperator] 166741
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166860
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166523
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166826
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166637
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166982
h10 [MultiPointsCrossover,BitFlipMutation] 167208
h11 [MultiPointsCrossover,LoopMoveOperator] 166179
h12 [MultiPointsCrossover,LocalMoveOperator] 166409
h13 [MultiPointsCrossover,SegmentMutation] 166875
h14 [MultiPointsCrossover,OppositeMoveOperator] 166844
