h0 [SinglePointCrossover,BitFlipMutation] 82933
h1 [SinglePointCrossover,LoopMoveOperator] 83374
h2 [SinglePointCrossover,LocalMoveOperator] 83642
h3 [SinglePointCrossover,SegmentMutation] 83450
h4 [SinglePointCrossover,OppositeMoveOperator] 83183
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83645
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83332
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 82902
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83136
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83380
h10 [MultiPointsCrossover,BitFlipMutation] 83017
h11 [MultiPointsCrossover,LoopMoveOperator] 83357
h12 [MultiPointsCrossover,LocalMoveOperator] 83009
h13 [MultiPointsCrossover,SegmentMutation] 83458
h14 [MultiPointsCrossover,OppositeMoveOperator] 83682
