h0 [SinglePointCrossover,BitFlipMutation] 167179
h1 [SinglePointCrossover,LoopMoveOperator] 167435
h2 [SinglePointCrossover,LocalMoveOperator] 165987
h3 [SinglePointCrossover,SegmentMutation] 166131
h4 [SinglePointCrossover,OppositeMoveOperator] 166836
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166717
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166850
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167311
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166448
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 165545
h10 [MultiPointsCrossover,BitFlipMutation] 167144
h11 [MultiPointsCrossover,LoopMoveOperator] 166131
h12 [MultiPointsCrossover,LocalMoveOperator] 166968
h13 [MultiPointsCrossover,SegmentMutation] 166623
h14 [MultiPointsCrossover,OppositeMoveOperator] 166695
