h0 [SinglePointCrossover,BitFlipMutation] 83577
h1 [SinglePointCrossover,LoopMoveOperator] 82987
h2 [SinglePointCrossover,LocalMoveOperator] 83242
h3 [SinglePointCrossover,SegmentMutation] 82834
h4 [SinglePointCrossover,OppositeMoveOperator] 83114
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83993
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83462
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83132
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83252
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83049
h10 [MultiPointsCrossover,BitFlipMutation] 83375
h11 [MultiPointsCrossover,LoopMoveOperator] 82988
h12 [MultiPointsCrossover,LocalMoveOperator] 83315
h13 [MultiPointsCrossover,SegmentMutation] 83956
h14 [MultiPointsCrossover,OppositeMoveOperator] 83224
