h0 [SinglePointCrossover,BitFlipMutation] 1747
h1 [SinglePointCrossover,LoopMoveOperator] 1678
h2 [SinglePointCrossover,LocalMoveOperator] 1668
h3 [SinglePointCrossover,SegmentMutation] 1682
h4 [SinglePointCrossover,OppositeMoveOperator] 1679
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1634
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1774
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1623
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1668
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1652
h10 [MultiPointsCrossover,BitFlipMutation] 1620
h11 [MultiPointsCrossover,LoopMoveOperator] 1630
h12 [MultiPointsCrossover,LocalMoveOperator] 1656
h13 [MultiPointsCrossover,SegmentMutation] 1667
h14 [MultiPointsCrossover,OppositeMoveOperator] 1622
