h0 [SinglePointCrossover,BitFlipMutation] 837
h1 [SinglePointCrossover,LoopMoveOperator] 859
h2 [SinglePointCrossover,LocalMoveOperator] 834
h3 [SinglePointCrossover,SegmentMutation] 797
h4 [SinglePointCrossover,OppositeMoveOperator] 845
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 813
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 824
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 867
h8 [IntegerTwoPointsCrossover,SegmentMutation] 811
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 797
h10 [MultiPointsCrossover,BitFlipMutation] 846
h11 [MultiPointsCrossover,LoopMoveOperator] 813
h12 [MultiPointsCrossover,LocalMoveOperator] 837
h13 [MultiPointsCrossover,SegmentMutation] 844
h14 [MultiPointsCrossover,OppositeMoveOperator] 826
