h0 [SinglePointCrossover,BitFlipMutation] 167215
h1 [SinglePointCrossover,LoopMoveOperator] 166685
h2 [SinglePointCrossover,LocalMoveOperator] 166218
h3 [SinglePointCrossover,SegmentMutation] 166629
h4 [SinglePointCrossover,OppositeMoveOperator] 166636
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166378
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166193
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166861
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166201
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166718
h10 [MultiPointsCrossover,BitFlipMutation] 167463
h11 [MultiPointsCrossover,LoopMoveOperator] 166311
h12 [MultiPointsCrossover,LocalMoveOperator] 167068
h13 [MultiPointsCrossover,SegmentMutation] 166592
h14 [MultiPointsCrossover,OppositeMoveOperator] 166832
