h0 [SinglePointCrossover,BitFlipMutation] 83354
h1 [SinglePointCrossover,LoopMoveOperator] 83259
h2 [SinglePointCrossover,LocalMoveOperator] 83072
h3 [SinglePointCrossover,SegmentMutation] 83223
h4 [SinglePointCrossover,OppositeMoveOperator] 83322
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 82803
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83059
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83340
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83458
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 82968
h10 [MultiPointsCrossover,BitFlipMutation] 83104
h11 [MultiPointsCrossover,LoopMoveOperator] 83327
h12 [MultiPointsCrossover,LocalMoveOperator] 83053
h13 [MultiPointsCrossover,SegmentMutation] 83021
h14 [MultiPointsCrossover,OppositeMoveOperator] 83137
