h0 [SinglePointCrossover,BitFlipMutation] 83045
h1 [SinglePointCrossover,LoopMoveOperator] 83041
h2 [SinglePointCrossover,LocalMoveOperator] 83698
h3 [SinglePointCrossover,SegmentMutation] 82753
h4 [SinglePointCrossover,OppositeMoveOperator] 83218
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83014
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 84020
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83022
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83324
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83122
h10 [MultiPointsCrossover,BitFlipMutation] 82885
h11 [MultiPointsCrossover,LoopMoveOperator] 83655
h12 [MultiPointsCrossover,LocalMoveOperator] 83337
h13 [MultiPointsCrossover,SegmentMutation] 83210
h14 [MultiPointsCrossover,OppositeMoveOperator] 83406
