h0 [SinglePointCrossover,BitFlipMutation] 167157
h1 [SinglePointCrossover,LoopMoveOperator] 166555
h2 [SinglePointCrossover,LocalMoveOperator] 167170
h3 [SinglePointCrossover,SegmentMutation] 166603
h4 [SinglePointCrossover,OppositeMoveOperator] 167423
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 165919
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166330
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166894
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166284
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166224
h10 [MultiPointsCrossover,BitFlipMutation] 166182
h11 [MultiPointsCrossover,LoopMoveOperator] 166499
h12 [MultiPointsCrossover,LocalMoveOperator] 166828
h13 [MultiPointsCrossover,SegmentMutation] 167069
h14 [MultiPointsCrossover,OppositeMoveOperator] 166863
