h0 [SinglePointCrossover,BitFlipMutation] 83376
h1 [SinglePointCrossover,LoopMoveOperator] 83101
h2 [SinglePointCrossover,LocalMoveOperator] 83563
h3 [SinglePointCrossover,SegmentMutation] 83393
h4 [SinglePointCrossover,OppositeMoveOperator] 83444
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83428
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83140
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83515
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83565
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83597
h10 [MultiPointsCrossover,BitFlipMutation] 83436
h11 [MultiPointsCrossover,LoopMoveOperator] 82973
h12 [MultiPointsCrossover,LocalMoveOperator] 83094
h13 [MultiPointsCrossover,SegmentMutation] 83299
h14 [MultiPointsCrossover,OppositeMoveOperator] 82576
