h0 [SinglePointCrossover,BitFlipMutation] 799
h1 [SinglePointCrossover,LoopMoveOperator] 852
h2 [SinglePointCrossover,LocalMoveOperator] 806
h3 [SinglePointCrossover,SegmentMutation] 833
h4 [SinglePointCrossover,OppositeMoveOperator] 830
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 808
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 815
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 871
h8 [IntegerTwoPointsCrossover,SegmentMutation] 875
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 803
h10 [MultiPointsCrossover,BitFlipMutation] 816
h11 [MultiPointsCrossover,LoopMoveOperator] 846
h12 [MultiPointsCrossover,LocalMoveOperator] 808
h13 [MultiPointsCrossover,SegmentMutation] 825
h14 [MultiPointsCrossover,OppositeMoveOperator] 863
