h0 [SinglePointCrossover,BitFlipMutation] 8375
h1 [SinglePointCrossover,LoopMoveOperator] 8436
h2 [SinglePointCrossover,LocalMoveOperator] 8289
h3 [SinglePointCrossover,SegmentMutation] 8248
h4 [SinglePointCrossover,OppositeMoveOperator] 8308
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8210
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8391
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8320
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8330
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8369
h10 [MultiPointsCrossover,BitFlipMutation] 8302
h11 [MultiPointsCrossover,LoopMoveOperator] 8438
h12 [MultiPointsCrossover,LocalMoveOperator] 8186
h13 [MultiPointsCrossover,SegmentMutation] 8253
h14 [MultiPointsCrossover,OppositeMoveOperator] 8295
