h0 [SinglePointCrossover,BitFlipMutation] 8060
h1 [SinglePointCrossover,LoopMoveOperator] 8330
h2 [SinglePointCrossover,LocalMoveOperator] 8349
h3 [SinglePointCrossover,SegmentMutation] 8144
h4 [SinglePointCrossover,OppositeMoveOperator] 8406
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8538
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8280
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8414
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8347
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8258
h10 [MultiPointsCrossover,BitFlipMutation] 8280
h11 [MultiPointsCrossover,LoopMoveOperator] 8370
h12 [MultiPointsCrossover,LocalMoveOperator] 8357
h13 [MultiPointsCrossover,SegmentMutation] 8199
h14 [MultiPointsCrossover,OppositeMoveOperator] 8418
