h0 [SinglePointCrossover,BitFlipMutation] 166842
h1 [SinglePointCrossover,LoopMoveOperator] 167401
h2 [SinglePointCrossover,LocalMoveOperator] 166225
h3 [SinglePointCrossover,SegmentMutation] 165269
h4 [SinglePointCrossover,OppositeMoveOperator] 167054
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166318
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166670
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166542
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167367
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166339
h10 [MultiPointsCrossover,BitFlipMutation] 167241
h11 [MultiPointsCrossover,LoopMoveOperator] 166561
h12 [MultiPointsCrossover,LocalMoveOperator] 167108
h13 [MultiPointsCrossover,SegmentMutation] 166300
h14 [MultiPointsCrossover,OppositeMoveOperator] 166763
