h0 [SinglePointCrossover,BitFlipMutation] 83055
h1 [SinglePointCrossover,LoopMoveOperator] 83281
h2 [SinglePointCrossover,LocalMoveOperator] 83156
h3 [SinglePointCrossover,SegmentMutation] 83578
h4 [SinglePointCrossover,OppositeMoveOperator] 83263
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83492
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83717
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83223
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83032
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 82902
h10 [MultiPointsCrossover,BitFlipMutation] 83746
h11 [MultiPointsCrossover,LoopMoveOperator] 83387
h12 [MultiPointsCrossover,LocalMoveOperator] 83175
h13 [MultiPointsCrossover,SegmentMutation] 82916
h14 [MultiPointsCrossover,OppositeMoveOperator] 83577
