h0 [SinglePointCrossover,BitFlipMutation] 8302
h1 [SinglePointCrossover,LoopMoveOperator] 8375
h2 [SinglePointCrossover,LocalMoveOperator] 8434
h3 [SinglePointCrossover,SegmentMutation] 8356
h4 [SinglePointCrossover,OppositeMoveOperator] 8240
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8311
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8201
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8432
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8233
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8320
h10 [MultiPointsCrossover,BitFlipMutation] 8337
h11 [MultiPointsCrossover,LoopMoveOperator] 8266
h12 [MultiPointsCrossover,LocalMoveOperator] 8253
h13 [MultiPointsCrossover,SegmentMutation] 8298
h14 [MultiPointsCrossover,OppositeMoveOperator] 8392
