h0 [SinglePointCrossover,BitFlipMutation] 83536
h1 [SinglePointCrossover,LoopMoveOperator] 82775
h2 [SinglePointCrossover,LocalMoveOperator] 82823
h3 [SinglePointCrossover,SegmentMutation] 83074
h4 [SinglePointCrossover,OppositeMoveOperator] 83491
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83296
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83104
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83811
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83249
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83213
h10 [MultiPointsCrossover,BitFlipMutation] 83403
h11 [MultiPointsCrossover,LoopMoveOperator] 83660
h12 [MultiPointsCrossover,LocalMoveOperator] 83388
h13 [MultiPointsCrossover,SegmentMutation] 83514
h14 [MultiPointsCrossover,OppositeMoveOperator] 83163
