h0 [SinglePointCrossover,BitFlipMutation] 167041
h1 [SinglePointCrossover,LoopMoveOperator] 166141
h2 [SinglePointCrossover,LocalMoveOperator] 166733
h3 [SinglePointCrossover,SegmentMutation] 166693
h4 [SinglePointCrossover,OppositeMoveOperator] 166450
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166175
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 165703
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166816
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167058
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166319
h10 [MultiPointsCrossover,BitFlipMutation] 166489
h11 [MultiPointsCrossover,LoopMoveOperator] 166995
h12 [MultiPointsCrossover,LocalMoveOperator] 167507
h13 [MultiPointsCrossover,SegmentMutation] 166904
h14 [MultiPointsCrossover,OppositeMoveOperator] 166976
