h0 [SinglePointCrossover,BitFlipMutation] 166813
h1 [SinglePointCrossover,LoopMoveOperator] 166905
h2 [SinglePointCrossover,LocalMoveOperator] 166234
h3 [SinglePointCrossover,SegmentMutation] 166768
h4 [SinglePointCrossover,OppositeMoveOperator] 166126
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166768
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166685
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166148
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166851
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166992
h10 [MultiPointsCrossover,BitFlipMutation] 166695
h11 [MultiPointsCrossover,LoopMoveOperator] 167140
h12 [MultiPointsCrossover,LocalMoveOperator] 166681
h13 [MultiPointsCrossover,SegmentMutation] 166155
h14 [MultiPointsCrossover,OppositeMoveOperator] 167039
