h0 [SinglePointCrossover,BitFlipMutation] 166941
h1 [SinglePointCrossover,LoopMoveOperator] 166278
h2 [SinglePointCrossover,LocalMoveOperator] 166299
h3 [SinglePointCrossover,SegmentMutation] 166822
h4 [SinglePointCrossover,OppositeMoveOperator] 167484
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166911
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167648
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166536
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166352
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166241
h10 [MultiPointsCrossover,BitFlipMutation] 166103
h11 [MultiPointsCrossover,LoopMoveOperator] 167285
h12 [MultiPointsCrossover,LocalMoveOperator] 166796
h13 [MultiPointsCrossover,SegmentMutation] 166295
h14 [MultiPointsCrossover,OppositeMoveOperator] 166009
