h0 [SinglePointCrossover,BitFlipMutation] 166658
h1 [SinglePointCrossover,LoopMoveOperator] 166648
h2 [SinglePointCrossover,LocalMoveOperator] 166329
h3 [SinglePointCrossover,SegmentMutation] 165591
h4 [SinglePointCrossover,OppositeMoveOperator] 166831
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167288
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166784
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166599
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167013
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166344
h10 [MultiPointsCrossover,BitFlipMutation] 166754
h11 [MultiPointsCrossover,LoopMoveOperator] 166867
h12 [MultiPointsCrossover,LocalMoveOperator] 166612
h13 [MultiPointsCrossover,SegmentMutation] 166827
h14 [MultiPointsCrossover,OppositeMoveOperator] 166855
