h0 [SinglePointCrossover,BitFlipMutation] 83536
h1 [SinglePointCrossover,LoopMoveOperator] 82577
h2 [SinglePointCrossover,LocalMoveOperator] 83283
h3 [SinglePointCrossover,SegmentMutation] 82935
h4 [SinglePointCrossover,OppositeMoveOperator] 82986
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83265
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83343
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83424
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83207
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83532
h10 [MultiPointsCrossover,BitFlipMutation] 83172
h11 [MultiPointsCrossover,LoopMoveOperator] 83385
h12 [MultiPointsCrossover,LocalMoveOperator] 83632
h13 [MultiPointsCrossover,SegmentMutation] 83082
h14 [MultiPointsCrossover,OppositeMoveOperator] 83391
