h0 [SinglePointCrossover,BitFlipMutation] 83044
h1 [SinglePointCrossover,LoopMoveOperator] 83255
h2 [SinglePointCrossover,LocalMoveOperator] 83122
h3 [SinglePointCrossover,SegmentMutation] 83384
h4 [SinglePointCrossover,OppositeMoveOperator] 83444
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83016
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83336
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83398
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83287
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83501
h10 [MultiPointsCrossover,BitFlipMutation] 83691
h11 [MultiPointsCrossover,LoopMoveOperator] 83025
h12 [MultiPointsCrossover,LocalMoveOperator] 83391
h13 [MultiPointsCrossover,SegmentMutation] 83371
h14 [MultiPointsCrossover,OppositeMoveOperator] 83235
