h0 [SinglePointCrossover,BitFlipMutation] 1752
h1 [SinglePointCrossover,LoopMoveOperator] 1690
h2 [SinglePointCrossover,LocalMoveOperator] 1662
h3 [SinglePointCrossover,SegmentMutation] 1595
h4 [SinglePointCrossover,OppositeMoveOperator] 1611
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1700
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1612
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1608
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1629
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1647
h10 [MultiPointsCrossover,BitFlipMutation] 1671
h11 [MultiPointsCrossover,LoopMoveOperator] 1751
h12 [MultiPointsCrossover,LocalMoveOperator] 1644
h13 [MultiPointsCrossover,SegmentMutation] 1729
h14 [MultiPointsCrossover,OppositeMoveOperator] 1699
