h0 [SinglePointCrossover,BitFlipMutation] 805
h1 [SinglePointCrossover,LoopMoveOperator] 883
h2 [SinglePointCrossover,LocalMoveOperator] 794
h3 [SinglePointCrossover,SegmentMutation] 806
h4 [SinglePointCrossover,OppositeMoveOperator] 860
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 820
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 855
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 833
h8 [IntegerTwoPointsCrossover,SegmentMutation] 867
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 818
h10 [MultiPointsCrossover,BitFlipMutation] 810
h11 [MultiPointsCrossover,LoopMoveOperator] 802
h12 [MultiPointsCrossover,LocalMoveOperator] 874
h13 [MultiPointsCrossover,SegmentMutation] 774
h14 [MultiPointsCrossover,OppositeMoveOperator] 849
