h0 [SinglePointCrossover,BitFlipMutation] 166883
h1 [SinglePointCrossover,LoopMoveOperator] 165606
h2 [SinglePointCrossover,LocalMoveOperator] 167005
h3 [SinglePointCrossover,SegmentMutation] 166965
h4 [SinglePointCrossover,OppositeMoveOperator] 166979
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166486
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167085
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166990
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166784
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166584
h10 [MultiPointsCrossover,BitFlipMutation] 166528
h11 [MultiPointsCrossover,LoopMoveOperator] 166599
h12 [MultiPointsCrossover,LocalMoveOperator] 166375
h13 [MultiPointsCrossover,SegmentMutation] 166540
h14 [MultiPointsCrossover,OppositeMoveOperator] 166591
