h0 [SinglePointCrossover,BitFlipMutation] 83349
h1 [SinglePointCrossover,LoopMoveOperator] 83015
h2 [SinglePointCrossover,LocalMoveOperator] 82854
h3 [SinglePointCrossover,SegmentMutation] 83358
h4 [SinglePointCrossover,OppositeMoveOperator] 82603
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83378
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83536
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83386
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83131
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 82950
h10 [MultiPointsCrossover,BitFlipMutation] 83498
h11 [MultiPointsCrossover,LoopMoveOperator] 83666
h12 [MultiPointsCrossover,LocalMoveOperator] 83400
h13 [MultiPointsCrossover,SegmentMutation] 83173
h14 [MultiPointsCrossover,OppositeMoveOperator] 83453
